date,Output,Heat Rate,Heat Consumption,Exhaust Temperature,Exhaust Flow
2022-06-25 19:00:00+00:00,89444.85408484876,11277.324313797188,955993286.3804389,1051.6649592873564,890476.4232679427
2022-06-25 20:00:00+00:00,89416.8642058477,11277.417367076041,955701930.3951412,1051.6654094052874,890204.9001478852
2022-06-25 21:00:00+00:00,89444.85408484876,12477.622969370144,955993286.3804389,1092.3499592873563,780686.4411583787
2022-06-25 22:00:00+00:00,89491.50388318385,27728.244558753053,956478879.6892687,859.1192090908046,634816.4551718256
2022-06-25 23:00:00+00:00,89463.51400418281,27728.47335766718,956187523.7039708,859.1196592087356,634622.9859369458
2022-06-26 00:00:00+00:00,89556.81360085298,27727.7106946201,957158710.32163,859.1181588156321,635267.8833865456
2022-06-26 01:00:00+00:00,89631.45327818912,27727.10056418244,957935659.6157573,859.1169585011494,635783.8013462254
2022-06-26 02:00:00+00:00,89678.10307652422,27726.719232658903,958421252.924587,859.1162083045976,636106.2500710253
2022-06-26 03:00:00+00:00,89696.76299585825,27726.566700049483,958615490.2481189,859.115908225977,636235.2295609454
2022-06-26 04:00:00+00:00,89715.42291519229,27726.41416744007,958809727.5716506,859.1156081473563,636364.2090508653
2022-06-26 05:00:00+00:00,89659.44315719018,27726.87176526832,958227015.6010551,859.1165083832184,635977.2705811053
2022-06-26 06:00:00+00:00,89594.13343952106,20711.52605876392,957547184.9686937,958.0550586583907,633698.3412413504
2022-06-26 07:00:00+00:00,89612.7933588551,20711.412121558365,957741422.2922256,958.0547585797701,633826.9498412966
2022-06-26 08:00:00+00:00,89659.44315719018,20711.127278544478,958227015.6010551,958.0540083832184,634148.4713411623
2022-06-26 09:00:00+00:00,89640.78323785614,15656.626254170606,958032778.2775232,1101.0868084618392,653717.721099709
2022-06-26 10:00:00+00:00,89668.77311685719,15656.497058226343,958324134.262821,1101.0863583439082,653916.627456934
2022-06-26 11:00:00+00:00,89696.76299585825,15656.367862282075,958615490.2481189,1101.0859082259772,654115.5338141589
2022-06-26 12:00:00+00:00,89743.41279419335,15656.152535708308,959101083.5569484,1101.0851580294252,654447.0444095337
2022-06-26 13:00:00+00:00,89780.70984339928,15655.984816549751,959489558.2040123,1101.084557872184,654712.2528858337
2022-06-26 14:00:00+00:00,89808.6054350312,15655.874412742834,959780914.1893098,1101.0841077542527,654911.1592430584
2022-06-26 15:00:00+00:00,89799.30690448724,15655.911214011805,959683795.527544,1101.0842577935632,654844.8571239837
2022-06-26 16:00:00+00:00,89752.74275386037,15656.109470393552,959198202.2187142,1101.085007990115,654513.3465286087
2022-06-26 17:00:00+00:00,89678.10307652422,11276.548869806738,958421252.924587,1051.6612083045977,892739.1159350887
2022-06-26 18:00:00+00:00,89603.46339918807,11276.797011883684,957644303.6304597,1051.6624086190805,892015.0542816019
2022-06-26 19:00:00+00:00,89528.82372185192,11277.045153960624,956867354.3363323,1051.6636089335632,891290.9926281152
2022-06-26 20:00:00+00:00,89472.84396384981,11277.231260518334,956284642.3657367,1051.6645091694252,890747.9463880003
2022-06-26 21:00:00+00:00,89444.85408484876,12477.622969370144,955993286.3804389,1092.3499592873563,780686.4411583787
2022-06-26 22:00:00+00:00,89426.19416551472,27728.778422886,955799049.0569072,859.120259365977,634365.0269571057
2022-06-26 23:00:00+00:00,89482.17392351684,27728.32082505776,956381761.0275028,859.119359130115,634751.9654268656
2022-06-27 00:00:00+00:00,89603.46339918807,26590.697908129547,957644303.6304597,869.4874086190804,635397.9440513431
2022-06-27 01:00:00+00:00,89668.77311685719,26590.185928786086,958324134.262821,869.486358343908,635849.2356223887
2022-06-27 02:00:00+00:00,89743.41279419335,26589.600809536416,959101083.5569484,869.4851580294253,636364.997417869
2022-06-27 03:00:00+00:00,89780.70984339928,26589.315963980396,959489558.2040123,869.4845578721839,636622.8783156094
2022-06-27 04:00:00+00:00,89771.4026731944,26589.38138981778,959392439.5422461,869.4847079114942,636558.4080911743
2022-06-27 05:00:00+00:00,89715.42291519229,26589.820229255034,958809727.5716506,869.4856081473563,636171.5867445639
2022-06-27 06:00:00+00:00,89659.44315719018,20147.544817515747,958227015.6010551,973.7365083832184,633859.7135664345
2022-06-27 07:00:00+00:00,89575.47352018702,20148.0435830904,957352947.6451619,973.7378587370115,633281.2383937626
2022-06-27 08:00:00+00:00,89631.45327818912,20147.711072707298,957935659.6157573,973.7369585011494,633666.8885088773
2022-06-27 09:00:00+00:00,89724.7528748593,15296.84406775165,958906846.2334164,1101.085458108046,665207.8768074004
2022-06-27 10:00:00+00:00,89706.09295552528,15296.928221221531,958712608.9098847,1101.0857581866667,665073.0648908358
2022-06-27 11:00:00+00:00,89799.30690448724,15296.524132211747,959683795.527544,1101.0842577935632,665747.1244736587
2022-06-27 12:00:00+00:00,89780.70984339928,15296.59604517692,959489558.2040123,1101.084557872184,665612.3125570943
2022-06-27 13:00:00+00:00,89808.6054350312,15296.488175729164,959780914.1893098,1101.0841077542527,665814.5304319409
2022-06-27 14:00:00+00:00,89845.79955720715,15296.34434979882,960169388.8363733,1101.0835075970115,666084.15426507
2022-06-27 15:00:00+00:00,89855.09808775112,15296.308393316238,960266507.4981393,1101.0833575577012,666151.5602233523
2022-06-27 16:00:00+00:00,89790.00837394324,15296.560088694334,959586676.8657782,1101.0844078328737,665679.7185153764
2022-06-27 17:00:00+00:00,89715.42291519229,11086.791108225716,958809727.5716506,1043.5856081473562,926259.7009180132
2022-06-27 18:00:00+00:00,89631.45327818912,11087.065573479464,957935659.6157573,1043.5869585011494,925414.8886874322
